,id,name,ensembl_id,uberon
0,1,O43819,ENSG00000284194,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0002127', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0009663', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0000014', 'UBERON:0001296', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0003244', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0010011', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0002743', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001154', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000014', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0003661', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0005382', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0001003', 'UBERON:0007616', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515']"
1,2,P09132,ENSG00000153037,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515', 'UBERON:0000204', 'UBERON:0000474', 'UBERON:0013702', 'UBERON:0002776', 'UBERON:0007808', 'UBERON:0000020', 'UBERON:0010742', 'UBERON:0002423', 'UBERON:0004121', 'CL:0000019', 'UBERON:0003454', 'UBERON:0000383', 'UBERON:0005609']"
2,3,Q9BV40,ENSG00000118640,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0002127', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0009663', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0000014', 'UBERON:0001296', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0003244', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0010011', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0002743', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001154', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000014', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0003661', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0005382', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0001003', 'UBERON:0007616', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515']"
3,4,Q5XPI4,ENSG00000164068,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0002127', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0009663', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0000014', 'UBERON:0001296', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0003244', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001154', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0003661', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0007616', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515', 'UBERON:0000204', 'UBERON:0000474', 'UBERON:0013702', 'UBERON:0002776', 'UBERON:0007808']"
4,5,A7KAX9,ENSG00000134909,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0002127', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0009663', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0000014', 'UBERON:0001296', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0003244', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001154', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000014', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0003661', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0007616', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0001694', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515', 'UBERON:0000204', 'UBERON:0000474', 'UBERON:0013702']"
5,6,P50222,ENSG00000106511,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0002127', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0009663', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0000014', 'UBERON:0001296', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0003244', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0010011', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0002743', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001154', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000014', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0003661', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0005382', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0001003', 'UBERON:0007616', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0001694', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950']"
6,7,Q14643,ENSG00000150995,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0002127', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0009663', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0000014', 'UBERON:0001296', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0003244', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0010011', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0002743', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001154', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000014', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0003661', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0005382', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0001003', 'UBERON:0007616', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0001694', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950']"
7,8,Q9Y2T6,ENSG00000135898,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515', 'UBERON:0000204', 'UBERON:0000474', 'UBERON:0013702', 'UBERON:0002776', 'UBERON:0007808', 'UBERON:0000020', 'UBERON:0010742', 'UBERON:0002423', 'UBERON:0004121', 'CL:0000019', 'UBERON:0003454', 'UBERON:0000383', 'UBERON:0005609']"
8,9,Q96SB3,ENSG00000108819,"['UBERON:0011595', 'UBERON:0000081', 'UBERON:0001711', 'UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0005366', 'UBERON:0002771', 'UBERON:0006631', 'UBERON:0000475', 'UBERON:0010314', 'UBERON:0035820', 'UBERON:0011595', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0001062', 'UBERON:0000061', 'UBERON:0002037', 'UBERON:0001812', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0000061', 'UBERON:0013554', 'UBERON:0006331', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'CL:0000039', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0004807', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0004807', 'UBERON:0004804', 'UBERON:0001893', 'UBERON:0002316', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0003823', 'UBERON:0000970', 'UBERON:0001434', 'UBERON:0001004', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000990', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0002530', 'UBERON:0000014', 'UBERON:0002771', 'UBERON:0002031', 'UBERON:0000029', 'UBERON:0001621', 'UBERON:0008188', 'UBERON:0003296', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0003697', 'UBERON:0002245', 'UBERON:0001558', 'UBERON:0009835', 'UBERON:0004263', 'UBERON:0002461', 'UBERON:0003833', 'UBERON:0000061', 'UBERON:0001950', 'UBERON:0003822', 'UBERON:0007196', 'UBERON:0000916', 'UBERON:0000995', 'UBERON:0003379', 'CL:0000766', 'UBERON:0005609', 'UBERON:0001630', 'UBERON:0009127', 'UBERON:0002113', 'UBERON:0000467', 'UBERON:0007371', 'UBERON:0001295', 'UBERON:0002691', 'UBERON:0000203', 'UBERON:0001950', 'UBERON:0001515', 'UBERON:0000204', 'UBERON:0000474', 'UBERON:0013702', 'UBERON:0002776', 'UBERON:0007808', 'UBERON:0000020', 'UBERON:0010742', 'UBERON:0002423', 'UBERON:0004121', 'CL:0000019', 'UBERON:0003454', 'UBERON:0000383', 'UBERON:0005609']"
9,10,P08243,ENSG00000070669,"['UBERON:0000160', 'UBERON:0001161', 'UBERON:0018254', 'UBERON:0006631', 'UBERON:0035820', 'UBERON:0005382', 'UBERON:0001161', 'UBERON:0002103', 'UBERON:0000043', 'UBERON:0001416', 'UBERON:0000061', 'UBERON:0000475', 'UBERON:0000383', 'UBERON:0001434', 'UBERON:0010011', 'BGEE:0000000', 'UBERON:0001434', 'UBERON:0001044', 'UBERON:0002101', 'UBERON:0002421', 'UBERON:0001893', 'UBERON:0010314', 'UBERON:0002201', 'UBERON:0003823', 'UBERON:0000160', 'UBERON:0001950', 'UBERON:0000043', 'UBERON:0000160', 'UBERON:0000014', 'UBERON:0001621', 'UBERON:0003296', 'UBERON:0001514', 'UBERON:0000468', 'UBERON:0002245', 'UBERON:0009835', 'UBERON:0000061', 'UBERON:0000916', 'UBERON:0000995', 'CL:0000766', 'UBERON:0005609', 'UBERON:0002113', 'UBERON:0001515', 'UBERON:0000204', 'UBERON:0013702', 'UBERON:0007808', 'UBERON:0002423', 'UBERON:0003454', 'UBERON:0000383', 'UBERON:0005609', 'UBERON:0001621', 'UBERON:0000369', 'UBERON:0000178', 'UBERON:0004256', 'UBERON:0010533', 'UBERON:0000468', 'UBERON:0005409', 'UBERON:0002423', 'UBERON:0000002', 'UBERON:0007610', 'UBERON:0002616', 'UBERON:0001558', 'UBERON:0012249', 'UBERON:0001159', 'UBERON:0003296', 'UBERON:0000916', 'UBERON:0001062', 'UBERON:0001898', 'UBERON:0002107', 'UBERON:0003697', 'UBERON:0000995', 'UBERON:0035805', 'UBERON:0000956', 'UBERON:0001233', 'UBERON:0000459', 'UBERON:0002423', 'UBERON:0002423', 'UBERON:0001134', 'UBERON:0002049', 'UBERON:0003528', 'UBERON:0000059', 'UBERON:0005409', 'UBERON:0001416', 'UBERON:0001514', 'UBERON:0004480', 'UBERON:0000468', 'UBERON:0009661', 'UBERON:0002417', 'UBERON:0035833', 'UBERON:0002119', 'UBERON:0002082', 'UBERON:0005409', 'UBERON:0013768', 'UBERON:0001871', 'UBERON:0002345', 'UBERON:0001225', 'UBERON:0001119', 'UBERON:0004991', 'UBERON:0000467', 'UBERON:0014892', 'UBERON:0000990']"
